avg_return,success_rate,avg_length,loss,entropy
-170.78753662109375,0.0,87.40625,3.691602945327759,121.04710388183594
-175.59800720214844,0.0,95.21875,4.054617881774902,131.52175903320312
-169.57037353515625,0.0,93.03125,3.824991226196289,128.1480712890625
-136.28427124023438,0.0,91.25,3.9039719104766846,125.41443634033203
-140.02713012695312,0.0,91.25,3.9010281562805176,124.84480285644531
-180.04452514648438,0.0,100.59375,4.269505500793457,137.40347290039062
-141.5127716064453,0.0,95.21875,4.030824184417725,129.80062866210938
-163.74127197265625,0.0,95.875,3.9702847003936768,129.92581176757812
-160.9325714111328,0.0,103.75,4.230431079864502,140.2268829345703
-127.5582275390625,0.0,96.40625,4.076937198638916,130.16915893554688
-158.83642578125,0.0,102.0625,4.258698463439941,137.03887939453125
-147.22525024414062,0.0,103.8125,4.371095657348633,138.60215759277344
-124.31552124023438,0.0,102.15625,4.10426664352417,135.6556396484375
-115.41229248046875,0.0,102.5,4.16217041015625,135.66221618652344
-134.83419799804688,0.0,101.875,4.143224239349365,133.38449096679688
-133.96151733398438,0.0,109.15625,4.196979999542236,142.28927612304688
-108.91925048828125,0.0,104.6875,4.0570855140686035,136.78408813476562
-170.6370849609375,0.0,106.09375,4.017711162567139,137.23350524902344
-132.4244384765625,0.0,108.1875,4.275432586669922,139.78184509277344
-153.45681762695312,0.0,114.4375,4.51865291595459,146.9935302734375
-118.39952087402344,0.0,108.71875,4.169187545776367,139.12139892578125
-109.81988525390625,0.0,123.09375,5.079212665557861,158.01902770996094
-130.97665405273438,0.0,108.15625,4.169280529022217,138.1436767578125
-119.36784362792969,0.0,120.46875,5.466116428375244,154.3271026611328
-116.37275695800781,0.0,116.0625,4.559117794036865,148.89271545410156
-102.3378677368164,0.0,103.6875,4.004724502563477,133.00001525878906
-126.68277740478516,0.0,113.5,4.571225166320801,145.12586975097656
-95.65328979492188,0.0,99.71875,3.9397776126861572,127.43014526367188
-82.99591827392578,0.0,102.84375,4.059943675994873,132.2788543701172
-94.72343444824219,0.0,101.21875,4.04406213760376,129.24288940429688
-89.23069763183594,0.0,103.0625,4.117421627044678,131.80947875976562
-82.41519927978516,0.0,102.21875,4.085093975067139,130.5139923095703
-90.87248229980469,0.0,98.71875,3.957501173019409,125.3395004272461
-117.8460922241211,0.0,101.0,3.839714527130127,127.84436798095703
-108.92893981933594,0.0,98.125,3.798659324645996,124.24537658691406
-102.23057556152344,0.0,106.375,4.078613758087158,135.18679809570312
-83.14169311523438,0.0,104.25,4.09952974319458,131.6504669189453
-87.69265747070312,0.0,106.53125,4.206628799438477,135.03819274902344
-70.87631225585938,0.0,99.375,3.828903913497925,125.30479431152344
-77.01736450195312,0.0,103.84375,4.146827220916748,130.40838623046875
-65.01469421386719,0.0,119.0625,5.81979513168335,149.30564880371094
-83.06069946289062,0.0,99.125,3.8105204105377197,123.17955780029297
-68.2033462524414,0.0,109.71875,4.3630781173706055,137.83363342285156
-64.55888366699219,0.0,107.0625,4.120566368103027,133.91522216796875
-63.396522521972656,0.0,117.90625,5.059942722320557,148.4153594970703
