avg_return,success_rate,avg_length,loss,entropy
-170.78753662109375,0.0,87.40625,0.0,121.04710388183594
-167.14169311523438,0.0,95.5,0.0,132.24545288085938
-183.58831787109375,0.0,92.3125,0.0,127.84600830078125
-176.59255981445312,0.0,87.46875,0.0,121.1317138671875
-205.05661010742188,0.0,92.78125,0.0,128.4893341064453
-167.2051544189453,0.0,88.5,0.0,122.55908966064453
-224.1472930908203,0.0,94.03125,0.0,130.19985961914062
-156.5094757080078,0.0,95.65625,0.0,132.45809936523438
-183.18919372558594,0.0,87.75,0.0,121.53414916992188
-191.15542602539062,0.0,104.71875,0.0,144.9586639404297
-165.656494140625,0.0,82.90625,0.0,114.82046508789062
-166.13150024414062,0.0,96.09375,0.0,133.065185546875
-189.3247833251953,0.0,96.59375,0.0,133.75711059570312
-184.6637420654297,0.0,90.9375,0.0,125.9362564086914
-173.00564575195312,0.0,90.625,0.0,125.50535583496094
-188.5472412109375,0.0,89.46875,0.0,123.91558837890625
-185.4437255859375,0.0,87.84375,0.0,121.65213775634766
-170.52914428710938,0.0,91.875,0.0,127.22630310058594
-189.42379760742188,0.0,91.34375,0.0,126.49984741210938
-168.84181213378906,0.0,89.5625,0.0,124.03600311279297
-200.05096435546875,0.0,91.0,0.0,126.01289367675781
-192.32925415039062,0.0,95.625,0.0,132.41436767578125
-193.93002319335938,0.0,87.84375,0.0,121.64481353759766
-171.36370849609375,0.0,89.5625,0.0,124.03800201416016
-180.53990173339844,0.0,87.96875,0.0,121.81336975097656
-176.77044677734375,0.0,91.28125,0.0,126.39823913574219
-176.46780395507812,0.0,94.15625,0.0,130.38885498046875
-228.55848693847656,0.0,95.59375,0.0,132.38235473632812
-153.9187774658203,0.0,89.875,0.0,124.49104309082031
-186.01055908203125,0.0,89.1875,0.0,123.51901245117188
-188.4481964111328,0.0,89.5625,0.0,124.04559326171875
-197.5580596923828,0.0,89.28125,0.0,123.64664459228516
-190.89755249023438,0.0,91.40625,0.0,126.60021209716797
-203.83840942382812,0.0,98.84375,0.0,136.86642456054688
-195.23912048339844,0.0,92.125,0.0,127.5935287475586
-178.94949340820312,0.0,91.9375,0.0,127.32646179199219
-172.24034118652344,0.0,88.40625,0.0,122.4278564453125
-181.51187133789062,0.0,92.09375,0.0,127.53192901611328
-173.91485595703125,0.0,87.25,0.0,120.84715270996094
-171.7259063720703,0.0,100.9375,0.0,139.75352478027344
-159.2394256591797,0.0,85.96875,0.0,119.05918884277344
-188.2082977294922,0.0,94.6875,0.0,131.11886596679688
-198.4112548828125,0.0,89.0,0.0,123.23140716552734
-163.8445281982422,0.0,91.75,0.0,127.036865234375
-179.7357940673828,0.0,91.75,0.0,127.06192779541016
-163.41122436523438,0.0,95.96875,0.0,132.8853302001953
-155.6282958984375,0.0,91.0,0.0,126.02359771728516
-149.67401123046875,0.0,102.75,0.0,142.27752685546875
-137.2287139892578,0.0,84.9375,0.0,117.62687683105469
-151.27081298828125,0.0,90.625,0.0,125.49790954589844
-180.07723999023438,0.0,90.3125,0.0,125.06991577148438
-204.77565002441406,0.0,99.21875,0.0,137.39369201660156
-186.94534301757812,0.0,90.34375,0.0,125.09773254394531
-161.99267578125,0.0,92.21875,0.0,127.7041015625
-183.03433227539062,0.0,91.78125,0.0,127.09993743896484
-171.0102996826172,0.0,90.53125,0.0,125.36642456054688
-187.6585693359375,0.0,91.09375,0.0,126.14202880859375
-148.00656127929688,0.0,92.34375,0.0,127.87629699707031
-178.3472442626953,0.0,90.3125,0.0,125.08639526367188
-173.14527893066406,0.0,88.25,0.0,122.22124481201172
-209.36611938476562,0.0,91.1875,0.0,126.27705383300781
-110.13871765136719,0.0,87.0625,0.0,120.5777587890625
-220.30870056152344,0.0,93.375,0.0,129.3067626953125
-225.16696166992188,0.0,90.53125,0.0,125.37095642089844
-179.22430419921875,0.0,91.3125,0.0,126.45646667480469
-179.348388671875,0.0,93.09375,0.0,128.92193603515625
-222.3389892578125,0.0,91.75,0.0,127.0601806640625
-162.82225036621094,0.0,84.5,0.0,117.0281982421875
-139.70947265625,0.0,95.5,0.0,132.24932861328125
-220.67483520507812,0.0,92.84375,0.0,128.5402374267578
-163.26287841796875,0.0,92.0625,0.0,127.50213623046875
-190.94798278808594,0.0,90.875,0.0,125.8310546875
-219.88328552246094,0.0,90.78125,0.0,125.7236328125
-158.07589721679688,0.0,86.625,0.0,119.97942352294922
-163.7303466796875,0.0,91.5,0.0,126.71416473388672
-179.20684814453125,0.0,91.90625,0.0,127.27836608886719
-195.822509765625,0.0,89.625,0.0,124.13152313232422
-193.83729553222656,0.0,96.71875,0.0,133.93043518066406
-175.9879150390625,0.0,91.6875,0.0,126.9732437133789
-173.36749267578125,0.0,91.0,0.0,126.00735473632812
-202.46072387695312,0.0,84.5,0.0,117.01813507080078
-189.92739868164062,0.0,97.96875,0.0,135.64215087890625
-218.01312255859375,0.0,95.21875,0.0,131.84078979492188
-173.31182861328125,0.0,89.34375,0.0,123.72083282470703
-172.278076171875,0.0,88.15625,0.0,122.10717010498047
-179.806396484375,0.0,93.03125,0.0,128.84068298339844
-198.033935546875,0.0,87.15625,0.0,120.71236419677734
-160.94532775878906,0.0,96.84375,0.0,134.11952209472656
-200.9992218017578,0.0,94.15625,0.0,130.4069366455078
