avg_return,success_rate,avg_length,loss,entropy
-170.78753662109375,0.0,87.40625,-10869.47265625,121.04710388183594
-187.28378295898438,0.0,93.65625,-12038.873046875,129.44619750976562
-173.62564086914062,0.0,87.6875,-11216.4365234375,121.06112670898438
-128.88063049316406,0.0,82.59375,-7866.8515625,113.9569091796875
-135.50408935546875,0.0,105.5,-7262.87646484375,145.17295837402344
-167.87899780273438,0.0,93.03125,-10641.8125,127.35771179199219
-128.24801635742188,0.0,86.28125,-7941.96337890625,117.5102310180664
-152.73504638671875,0.0,81.625,-9174.7392578125,110.70824432373047
-165.03900146484375,0.0,86.90625,-9905.9833984375,116.90946960449219
-134.88238525390625,0.0,81.34375,-8041.361328125,108.73587036132812
-135.81863403320312,0.0,84.6875,-8240.337890625,112.3742904663086
-146.2477264404297,0.0,82.375,-8737.587890625,109.10600280761719
-126.00234985351562,0.0,84.5625,-7056.73828125,111.0205078125
-116.35474395751953,0.0,88.21875,-7146.85400390625,116.29530334472656
-136.85012817382812,0.0,86.46875,-7935.392578125,113.68635559082031
-130.76971435546875,0.0,81.8125,-7690.5390625,107.47002410888672
-139.18963623046875,0.0,84.09375,-8048.08251953125,110.87215423583984
-129.28187561035156,0.0,81.84375,-7428.40478515625,107.77641296386719
-145.6516571044922,0.0,87.5,-8498.2548828125,115.34722900390625
-167.08575439453125,0.0,89.125,-10303.734375,117.41056060791016
-133.84442138671875,0.0,84.28125,-7880.0390625,111.12362670898438
-136.41867065429688,0.0,87.03125,-7840.83154296875,115.07657623291016
-130.27328491210938,0.0,85.125,-7806.380859375,112.50456237792969
-134.08241271972656,0.0,88.625,-7706.94677734375,116.74717712402344
-127.46728515625,0.0,87.59375,-7479.00146484375,115.93185424804688
-115.51006317138672,0.0,90.40625,-6645.2744140625,118.45073699951172
-119.79414367675781,0.0,90.78125,-7252.41064453125,119.45446014404297
-124.52790069580078,0.0,90.15625,-7793.91455078125,118.94395446777344
-115.41250610351562,0.0,94.1875,-6726.9970703125,124.46666717529297
-120.16490173339844,0.0,89.8125,-7196.1787109375,117.73287963867188
-107.94033813476562,0.0,88.4375,-6354.23779296875,114.8177261352539
-119.15464782714844,0.0,94.78125,-7098.876953125,123.54225158691406
-111.74594116210938,0.0,91.71875,-6234.572265625,119.17485809326172
